Tahun,Provinsi,Kabupaten/Kota,Timbulan Sampah Harian(ton),Timbulan Sampah Tahunan(ton)
2024,Sulawesi Utara,Kota Kotamobagu,86.65,"31,626.81"
2024,Sulawesi Tengah,Kab. Morowali,85.23,"31,107.13"
2024,Sulawesi Tengah,Kab. Banggai Kepulauan,60.84,"22,207.33"
2024,Sulawesi Tengah,Kab. Parigi Moutong,228.54,"83,415.46"
2024,Sulawesi Tengah,Kab. Banggai Laut,38.70,"14,124.59"
2024,Sulawesi Tengah,Kab. Morowali Utara,75.32,"27,490.71"
2024,Sulawesi Tengah,Kota Palu,196.26,"71,633.08"
2024,Sulawesi Selatan,Kab. Kepulauan Selayar,56.84,"20,746.60"
2024,Sulawesi Selatan,Kab. Bulukumba,186.15,"67,943.00"
2024,Sulawesi Selatan,Kab. Bantaeng,84.65,"30,896.96"
2024,Sulawesi Selatan,Kab. Bone,410.26,"149,743.08"
2024,Sulawesi Selatan,Kab. Maros,155.69,"56,827.14"
2024,Sulawesi Selatan,Kab. Pangkajene dan Kepulauan,144.72,"52,821.49"
2024,Sulawesi Selatan,Kab. Barru,78.15,"28,526.21"
2024,Sulawesi Selatan,Kab. Soppeng,96.38,"35,179.43"
2024,Sulawesi Selatan,Kab. Sidenreng Rappang,132.30,"48,288.33"
2024,Sulawesi Selatan,Kab. Pinrang,187.73,"68,522.47"
2024,Sulawesi Selatan,Kab. Tana Toraja,129.13,"47,131.90"
2024,Sulawesi Selatan,Kab. Luwu Utara,165.37,"60,358.96"
2024,Sulawesi Selatan,Kab. Luwu Timur,123.41,"45,045.38"
2024,Sulawesi Selatan,Kab. Toraja Utara,133.26,"48,638.62"
2024,Sulawesi Selatan,Kota Makassar,"1,061.56","387,470.48"
2024,Sulawesi Selatan,Kota Parepare,80.92,"29,535.80"
2024,Sulawesi Selatan,Kota Palopo,88.76,"32,398.50"
2024,Sulawesi Tenggara,Kab. Kolaka,121.36,"44,297.57"
2024,Sulawesi Tenggara,Kab. Muna,95.26,"34,770.63"
2024,Sulawesi Tenggara,Kab. Konawe Utara,30.96,"11,299.09"
2024,Sulawesi Tenggara,Kab. Kolaka Timur,56.58,"20,651.85"
2024,Sulawesi Tenggara,Kab. Buton Selatan,23.36,"8,527.64"
2024,Sulawesi Tenggara,Kota Kendari,255.82,"93,375.91"
2024,Sulawesi Tenggara,Kota Bau Bau,91.00,"33,215.00"
2024,Gorontalo,Kab. Bone Bolango,56.86,"20,753.66"
2024,Gorontalo,Kota Gorontalo,142.67,"52,073.97"
2024,Sulawesi Barat,Kab. Pasangkayu,81.69,"29,815.54"
2024,Sulawesi Barat,Kab. Mamuju,146.20,"53,362.09"
2024,Sulawesi Barat,Kab. Majene,72.54,"26,478.56"
2024,Maluku,Kab. Buru,64.58,"23,572.50"
2024,Maluku,Kab. Seram Bagian Barat,86.96,"31,738.79"
2024,Maluku,Kota Ambon,247.84,"90,460.29"
2024,Maluku,Kota Tual,63.88,"23,315.65"
2024,Maluku Utara,Kab. Halmahera Tengah,42.60,"15,549.00"
