Tahun,Provinsi,Kabupaten/Kota,Timbulan Sampah Tahunan (ton/tahun)(A),Pengurangan Sampah Tahunan (ton/tahun)(B),%Pengurangan Sampah(B/A),Penanganan Sampah Tahunan (ton/tahun)(C),%Penanganan Sampah(C/A),Sampah Terkelola Tahunan (ton/tahun)(B+C),%Sampah Terkelola(B+C)/A,Daur ulang Sampah Tahunan (ton/tahun)(D),Bahan baku Sampah Tahunan (ton/tahun)(E),Recycling Rate(D+E)/A,P1/P2
2024,Sumatera Selatan,Kab. Lahat,"99,542.14","9,131.12",9.17,"28,656.78",28.79,"37,787.90",37.96,"9,131.12",135.68,9.31,P 1
2024,Sumatera Selatan,Kab. Musi Banyuasin,"103,264.34","24,413.83",23.64,"21,005.75",20.34,"45,419.58",43.98,"22,309.50",,21.6,P 1
2024,Sumatera Selatan,Kab. Ogan Komering Ulu Timur,"103,250.47","2,611.82",2.53,"47,033.90",45.55,"49,645.72",48.08,"1,832.41",,1.77,P 1
2024,Sumatera Selatan,Kab. Ogan Ilir,"64,162.47",15.32,0.02,"23,827.20",37.14,"23,842.52",37.16,12.78,,0.02,P 1
2024,Sumatera Selatan,Kab. Penukal Abab Lematang Ilir,"38,730.15",945.26,2.44,"13,651.00",35.25,"14,596.26",37.69,921.53,,2.38,P 1
2024,Sumatera Selatan,Kab. Musi Rawas Utara,"28,398.02",98.55,0.35,"17,885.00",62.98,"17,983.55",63.33,98.55,,0.35,P 1
2024,Sumatera Selatan,Kota Pagar Alam,"26,980.07",112.38,0.42,"16,277.54",60.33,"16,389.92",60.75,109.5,,0.41,P 1
2024,Sumatera Selatan,Kota Prabumulih,"37,104.08","7,813.15",21.06,"23,907.50",64.43,"31,720.65",85.49,"7,331.18",,19.76,P 1
2024,Bengkulu,Kab. Bengkulu Utara,"67,563.03","5,867.76",8.68,"5,475.00",8.1,"11,342.76",16.79,"5,866.90",456.25,9.36,P 1
2024,Bengkulu,Kab. Seluma,"39,238.60",,,"1,914.06",4.88,"1,914.06",4.88,,,0,P 1
2024,Bengkulu,Kab. Lebong,"16,665.32",576.07,3.46,"4,380.00",26.28,"4,956.07",29.74,547.5,,3.29,P 1
2024,Bengkulu,Kab. Bengkulu Tengah,"22,107.87",327.59,1.48,"3,703.92",16.75,"4,031.51",18.24,321.02,,1.45,P 1
2024,Bengkulu,Kota Bengkulu,"99,645.77","8,907.88",8.94,"85,453.80",85.76,"94,361.68",94.7,"5,544.59",,5.56,P 1
2024,Lampung,Kab. Lampung Utara,"92,728.83",83.67,0.09,"36,390.50",39.24,"36,474.17",39.33,43.1,,0.05,P 1
2024,Lampung,Kab. Tulang Bawang,"63,301.22","1,095.12",1.73,"4,336.20",6.85,"5,431.32",8.58,"1,095.12",,1.73,P 1
2024,Lampung,Kab. Tanggamus,"136,404.50","4,367.97",3.2,"10,585.00",7.76,"14,952.97",10.96,"3,849.80",,2.82,P 1
2024,Lampung,Kab. Lampung Timur,"208,521.22",81.67,0.04,"1,153.40",0.55,"1,235.07",0.59,81.67,,0.04,P 1
